image,ground_truth,ue,oe,rec,pre,ue_np,ue_levin,asa,sse_rgb,sse_xy,co,ev,mde,icv,cd,reg,sp,sp_size,sp_size_variation
"112090","112090-2",0.0694037,0.942617,0.878824,0.110825,0.13825,32.9426,0.930596,553.287,237.76,0.114039,0.913157,0.642591,21.2357,0.401073,0.181378,500,308.802,263.39
"112090","112090-3",0.0647081,0.908368,0.865084,0.11998,0.127927,228.073,0.935292,553.287,237.76,0.114039,0.913157,0.711234,21.2357,0.401073,0.181378,500,308.802,263.39
"117025","117025-0",0.0163859,0.901769,0.965736,0.0846123,0.0319169,43.1996,0.983614,786.01,308.931,0.103515,0.933786,0.332286,25.2526,0.394324,0.429538,500,308.802,376.088
"117025","117025-1",0.026347,0.880124,0.932896,0.0860975,0.0522212,49.476,0.973653,786.01,308.931,0.103515,0.933786,0.455823,25.2526,0.394324,0.429538,500,308.802,376.088
"117025","117025-2",0.0248185,0.881018,0.929559,0.0826,0.0491318,27.9149,0.975182,786.01,308.931,0.103515,0.933786,0.469724,25.2526,0.394324,0.429538,500,308.802,376.088
"117025","117025-3",0.0512173,0.888764,0.858344,0.0769837,0.102389,19.9023,0.948783,786.01,308.931,0.103515,0.933786,0.731729,25.2526,0.394324,0.429538,500,308.802,376.088
"117025","117025-4",0.0360943,0.880629,0.824742,0.0600811,0.0716446,39.344,0.963906,786.01,308.931,0.103515,0.933786,0.772828,25.2526,0.394324,0.429538,500,308.802,376.088
"118015","118015-0",0.0428236,0.905512,0.958126,0.102585,0.0829787,55.7944,0.957176,1214.86,734.859,0.105234,0.873947,0.372648,32.6614,0.416649,0.174597,500,308.802,390.574
"118015","118015-1",0.0556667,0.888278,0.93553,0.127855,0.10827,30.6946,0.944333,1214.86,734.859,0.105234,0.873947,0.456648,32.6614,0.416649,0.174597,500,308.802,390.574
"118015","118015-2",0.0307058,0.923317,0.919178,0.0751737,0.0612302,14.2984,0.969294,1214.86,734.859,0.105234,0.873947,0.499223,32.6614,0.416649,0.174597,500,308.802,390.574
"118015","118015-3",0.026347,0.920033,0.966633,0.0610025,0.052409,0.836449,0.973653,1214.86,734.859,0.105234,0.873947,0.35817,32.6614,0.416649,0.174597,500,308.802,390.574
"118015","118015-4",0.0476616,0.870046,0.967099,0.153219,0.0933673,56.0028,0.952338,1214.86,734.859,0.105234,0.873947,0.321012,32.6614,0.416649,0.174597,500,308.802,390.574
"118031","118031-0",0.0379143,0.953044,0.909446,0.0550756,0.0757314,31.4442,0.962086,835.264,321.501,0.120362,0.897811,0.557166,25.9397,0.391999,0.185576,500,308.802,254.078
